"","token","count","frequency","general_frequency","relative_frequency"
"898","anne",120,0.000714192189118092,0.000401993017093261,1.77662834613966
"18456","relating",233,0.00138672316720429,0.000791045449004911,1.7530259088763
"16118","particular",153,0.000910595041125567,0.000521380351349411,1.74650816581179
"21395","temporal",101,0.000601111759174394,0.000344803979355175,1.74334345067173
"1936","bart",108,0.000642772970206283,0.000370267711486731,1.73596819346025
"14235","method",176,0.0010474818773732,0.000608207503535702,1.72224425263394
"15528","offered",119,0.000708240587542108,0.000422864928676504,1.67486244309449
"2368","bishop",243,0.00144623918296414,0.000863679701314596,1.67450871053567
"19936","shewing",116,0.000690385782814155,0.000413263849348212,1.67056901759738
"22835","vindication",160,0.000952256252157456,0.000579821703782491,1.6423259873602
"23290","westminster",245,0.0014581423861161,0.000888725995214488,1.64071085347761
"4732","concerning",434,0.0025829950839771,0.00161047669776303,1.60386988993067
"13787","mary",212,0.00126173953410863,0.000795637269553224,1.58582256310987
"18742","reverend",384,0.00228541500517789,0.00144308396686542,1.58370202819322
"8364","father",120,0.000714192189118092,0.000455842548978028,1.56675192063415
"6524","discourse",260,0.00154741640975587,0.000994337867825698,1.55622797826213
"17416","printed",207,0.00123198152622871,0.000795637269553224,1.54842108756482
"12327","lady",196,0.00116651390889288,0.000753893446386738,1.5473193386728
"12189","kingdom",220,0.0013093523467165,0.000846564733816337,1.5466653575491
"9756","greatbritain",117,0.000696337384390139,0.000450833290198049,1.54455626842517
"5893","death",428,0.00254728547452119,0.00165848209440449,1.53591376302187
"4101","civil",103,0.000613014962326362,0.000401575578861596,1.52652450645571
"16499","petition",645,0.00383878301650974,0.00254136395437567,1.51052076185318
"6003","defence",169,0.00100582066634131,0.000670405800053766,1.50031617605433
"22146","true",373,0.00221994738784207,0.00148148828417859,1.49845760614497
"21462","testament",164,0.000976062658461392,0.00065788265310382,1.48364249134163
"7317","edward",166,0.00098796586161336,0.000667066294200447,1.48106098329784
"18806","richard",252,0.00149980359714799,0.00101354002648228,1.47976750593008
"15628","opera",100,0.00059516015759841,0.000408254590568234,1.45781620427104
"6526","discourses",113,0.000672530978086203,0.00046293899891633,1.45274210999828
"17623","proposals",165,0.000982014260037376,0.000677084811760404,1.4503563556302
"8899","francis",138,0.000821321017485805,0.000568968309759205,1.44352682460188
"22460","unto",382,0.00227351180202593,0.00158584784209481,1.43362543472188
"10863","humble",148,0.000880837033245646,0.000615303953474004,1.4315478200204
"9641","gracious",118,0.000702288985966123,0.000490907360437876,1.43059371800761
"7727","epistle",146,0.000868933830093678,0.000609877256462361,1.42476837902432
"955","answer",331,0.00196998012165074,0.001386312367359,1.42102181877209
"6740","doctor",100,0.00059516015759841,0.000420360299286515,1.41583341387992
"92","abstract",114,0.000678482579662187,0.000480888842877919,1.41089274519607
"12471","latin",116,0.000690385782814155,0.000491324798669541,1.40515151012864
"18888","robert",375,0.00223185059099404,0.00160338024782473,1.3919658758563
"10556","historical",166,0.00098796586161336,0.000710062432061928,1.39137886614341
"20479","speech",318,0.00189260930116294,0.00136043119699578,1.39118340224949
"10644","holy",215,0.00127959433883658,0.00092671287429599,1.38078834807239
"22157","trustees",164,0.000976062658461392,0.000707140364440274,1.38029549371571
"7025","duke",223,0.00132720715144445,0.000963864876914163,1.37696391188518
"4632","company",330,0.00196402852007475,0.00143056081991548,1.37290808802578
"23701","written",202,0.00120222351834879,0.000878290039422867,1.36882289948179
"6982","dublin",225,0.00133911035459642,0.000984319350265741,1.36044298452011
"11817","jesus",150,0.000892740236397615,0.000661639597188804,1.3492847770761
"11623","ireland",448,0.00266631750604088,0.00197990953278643,1.34668653384805
"7122","duty",207,0.00123198152622871,0.000917111794967699,1.34332753431887
"9299","gentleman",200,0.00119032031519682,0.000891648062836142,1.33496652413584
"4028","churches",111,0.000660627774934235,0.00049549918098619,1.33325704720519
"12188","king",509,0.00302936520217591,0.00228004762135347,1.32864119758062
"2580","books",354,0.00210686695789837,0.00158793503325313,1.32679669745816
"18471","religion",266,0.00158312601921177,0.00119804772487815,1.32142149793973
"916","anno",141,0.000839175822213758,0.00064327231499555,1.30454210860849
"7332","effectual",119,0.000708240587542108,0.000547261521712632,1.2941538175856
"20523","spiritual",143,0.000851079025365726,0.00065788265310382,1.29366387964544
"9636","grace",181,0.00107723988525312,0.000834041586866391,1.29159013437263
"13516","majesties",105,0.00062491816547833,0.000485480663426233,1.28721535697844
"12464","lately",151,0.000898691837973599,0.00070338342035529,1.27766991937293
"21619","thomas",572,0.0034043161014629,0.00266492567094847,1.27745255283284
"11856","john",1393,0.00829058099534585,0.0064957563229369,1.27630726634115
"373","advice",131,0.000779659806453917,0.000611964447620686,1.2740279431023
"7859","estates",132,0.000785611408029901,0.000621982965180642,1.26307544098372
"3960","christian",369,0.00219614098153813,0.00174280461720079,1.26011886809519
"6705","divine",160,0.000952256252157456,0.000755980637545062,1.25963047843364
"12463","late",939,0.00558855387984907,0.0044523961789374,1.2551789318045
"2577","book",293,0.00174381926176334,0.0013934088172973,1.2514771258199
"17110","practical",166,0.00098796586161336,0.000789793134309916,1.2509172575634
"14156","merchants",128,0.000761805001725964,0.000613634200547345,1.24146437901677
"11293","information",155,0.000922498244277535,0.000744292367058446,1.23942994058018
"12194","kings",178,0.00105938508052517,0.000861175071924607,1.23016226904663
