"","token","count","frequency","general_frequency","relative_frequency"
"688","ann",121,0.000720143790694076,0.000426621872761488,1.68801422682022
"8739","husband",109,0.000648724571782267,0.000384460611363337,1.68736289910642
"1876","bishop",285,0.00169620644915547,0.00101896672349392,1.66463380014939
"16534","statut",106,0.000630869767054314,0.000381538543741683,1.65348895256422
"18325","vindic",259,0.00154146480817988,0.000936731391855947,1.645578253896
"9812","knight",106,0.000630869767054314,0.000384043173131672,1.64270532896055
"18707","westminst",245,0.0014581423861161,0.000889560871677818,1.63917100284084
"788","antiqu",102,0.000607063360750378,0.000371937464413391,1.63216513213537
"6211","estat",385,0.00229136660675388,0.00143306544930547,1.59892669791487
"14933","reverend",384,0.00228541500517789,0.00144308396686542,1.58370202819322
"10983","mari",240,0.00142838437823618,0.000905006086249418,1.57831466543588
"11427","method",217,0.00129149754198855,0.0008244405075381,1.56651393300064
"15906","shew",128,0.000761805001725964,0.000490489922206211,1.55315118055716
"6346","execut",169,0.00100582066634131,0.000647864135543864,1.55251789867478
"4694","death",437,0.00260084988870505,0.00169062483824269,1.5383956451323
"5160","discours",379,0.00225565699729797,0.00146854769899698,1.53597802702533
"18835","widow",144,0.00085703062694171,0.000562289298052567,1.52418093303563
"3796","concern",470,0.00279725274071253,0.00183589334286206,1.52364664951166
"7762","greatbritain",119,0.000708240587542108,0.000467113381232979,1.51620701953058
"6583","father",151,0.000898691837973599,0.000594432041890761,1.51184958858384
"12493","offer",135,0.000803466212757853,0.000533068621836027,1.50724724706269
"13579","poem",522,0.0031067360226637,0.00206631924674106,1.50351211583764
"17737","true",373,0.00221994738784207,0.00148357547533691,1.49634947783019
"14984","richard",257,0.00152956160502791,0.00102940267928555,1.48587295895665
"12445","occas",272,0.00161883562866767,0.00108951378464529,1.485833085806
"3323","civil",107,0.000636821368630298,0.000428709063919812,1.48543947918352
"13259","petit",654,0.0038923474306936,0.00265407227692518,1.46655668141901
"5277","divin",264,0.0015712228160598,0.00107490344653702,1.46173390840058
"9742","kingdom",248,0.00147599719084406,0.00101604465587227,1.45268929107936
"12581","opera",102,0.000607063360750378,0.000419525422823185,1.44702401266927
"13049","paul",120,0.000714192189118092,0.000497586372144514,1.43531300111786
"5796","edward",177,0.00105343347894919,0.00073427384949849,1.43466021521627
"18008","unto",382,0.00227351180202593,0.00158584784209481,1.43362543472188
"7027","franci",138,0.000821321017485805,0.000573142692075854,1.43301315508548
"9982","latin",128,0.000761805001725964,0.000532651183604362,1.43021366548171
"7663","gracious",121,0.000720143790694076,0.000504265383851152,1.42810475149856
"5312","doctor",112,0.000666579376510219,0.000467530819464644,1.42574424777708
"14679","reform",103,0.000613014962326362,0.000430378816846471,1.42436137265799
"17164","testament",192,0.00114270750258895,0.000805655787113181,1.41835697188186
"6109","epistl",181,0.00107723988525312,0.000760572458093376,1.41635405514627
"15254","sacrament",140,0.000833224220637774,0.000588587906647453,1.41563258644532
"15045","robert",390,0.0023211246146338,0.00165138564446619,1.40556182162048
"8499","holi",232,0.00138077156562831,0.00098765885611906,1.3980247907197
"4768","defenc",172,0.00102367547106926,0.000733856411266825,1.39492611272843
"5551","duke",228,0.00135696515932437,0.000977640338559103,1.388000377853
"75","abstract",119,0.000708240587542108,0.000510944395557789,1.38614024089438
"15035","road",129,0.000767756603301949,0.000556027724577594,1.38078834807239
"9263","ireland",463,0.00275559152968064,0.00199702450028469,1.3798486344498
"5514","dublin",228,0.00135696515932437,0.000987241417887395,1.37450185409376
"8440","histor",167,0.000993917463189344,0.000725925084865193,1.36917360194808
"19049","written",202,0.00120222351834879,0.000878290039422867,1.36882289948179
"16757","subscript",112,0.000666579376510219,0.00049382942805953,1.34981703931558
"9427","jesus",150,0.000892740236397615,0.000661639597188804,1.3492847770761
